Model Nickname,Model Name,Max Input Tokens,Max Output Tokens,Median Output Tokens,Price per 1M Input Tokens,Price per 1M Output Tokens,Blended Price per 1M Tokens (raw),Estimated Cost per use by Agent,Artificial Analysis Intelligence Index,Cost General Intelligence Index,Artificial Analysis Coding Index,Cost Coding Intelligence Index,Thinking (Y/N),Billion Parameter,set to benchmark,Comments
o3,o3,200000,100000,,$10.00,$40.00,$17.50,2.008000,70,34.86,,,Yes,,,Score not verified
o1 pro,o1-pro,200000,100000,,$150.00,$600.00,$262.50,30.120000,,,,,Yes,,,
o1,o1,200000,100000,74.7,$15.00,$60.00,$17.50,3.004482,62,20.64,52,17.31,Yes,,,
o4 mini (high),o4-mini,200000,100000,131.6,$1.10,$4.40,$1.93,0.220579,70,317.35,63,285.61,Yes,,Set because best,reasoning = high
o3 mini (high),03-mini,200000,100000,199.7,$1.10,$4.40,$1.93,0.220879,66,298.81,57,258.06,Yes,,,reasoning = high
03 mini,03-mini,200000,100000,209.6,$1.10,$4.40,$1.93,0.220922,63,285.17,56,253.48,Yes,,,
o1 mini,o1-mini,128000,65536,213.3,$1.10,$4.40,$1.93,0.141739,54,380.98,45,317.49,Yes,,,
GPT 4.1,gpt-4.1,1047576,32768,103.7,$2.00,$8.00,$3.50,2.095982,53,25.29,42,20.04,No,,,
GPT 4.1 mini,gpt-4.1-mini,1047576,32768,92.3,$0.40,$1.60,$0.70,0.419178,53,126.44,44,104.97,No,,set as million token context example,
GPT 4.1 nano,gpt-4.1-nano,1047576,32768,238.3,$0.10,$0.40,$0.17,0.104853,41,391.02,29,276.58,No,,,
ChatGPT,chatgpt-4o-latest,128000,16384,,$5.00,$15.00,$7.50,0.643000,,,,,No,,,
GPT 4o,gpt-4o,128000,16384,197.4,$5.00,$15.00,$7.50,0.642961,50,77.77,32,49.77,No,,,
GPT 4o (depricated),gpt-4o-2024-05-13,128000,16384,105.0,$5.00,$15.00,$7.50,0.641575,41,63.91,32,49.88,No,,,
GPT 4o mini,gpt-4o-mini,128000,16384,78.2,$0.15,$0.60,$0.26,0.019247,36,1870.43,23,1195.00,No,,,
GPT 4 Turbo,gpt-4-turbo,128000,4096,34.8,$10.00,$30.00,$15.00,1.281044,,,31,24.20,No,,,
Gemini 2.5 Pro (Preview),gemini-2.5-pro-preview-03-25,1048576,65536,212.9,$1.25,$10.00,$3.44,1.312849,68,51.80,55,41.89,Yes,,,
Gemini 2.5 Flash (Preview),gemini-2.5-flash-preview-04-17,1048576,65536,,$0.99,$0.15,$0.60,1.038120,,,,,Yes,,,
Gemini 2.0 Flash,gemini-2.0-flash,1048576,8192,248.9,$0.00,$0.00,$0.00,0.000000,48,,32,,Yes,,,
Gemini 2.0 Flash Lite,gemini-2.0-flash-lite,1048576,8192,197,$0.00,$0.00,$0.00,0.000000,41,,21,,Yes,,,
Llama 4 Maverick,llama-4-maverick-17b-128e-instruct-fp8,1000000,,124.8,$0.18,$0.60,$0.36,0.180075,51,283.22,36,199.92,No,402B/17B,,
Llama 4 Scout,llama-4-scout-17b-16e-instruct,10000000,,119.9,$0.08,$0.30,$0.26,0.800036,43,53.75,23,28.75,No,109B/17B,If there is time,
Llama 3.3 70B,llama3.3-70b-instruct-fp8,128000,,115.0,$0.12,$0.30,0.60$,0.015395,41,2663.29,27,1753.87,No,70B,,
Llama 3.2 3B,llama3.2-3b-instruct,128000,,158.2,$0.015	,$0.025,0.05$,0.001924,20,10395.25,7,3638.34,No,8B,set because smallest,
Llama 3.1 405B,llama3.1-405b-instruct-fp8,128000,,31.7,$0.80,$0.80,$3.50,0.102425,40,390.53,30,292.90,No,405B,,
Llama 3.1 Nemotron 70B,llama3.1-nemotron-70b-instruct-fp8,128000,,40.8,$0.12,$0.30,$0.24,0.015372,37,2406.94,,,No,70B,,
Llama 3.1 70B,llama3.1-70b-instruct-fp8,128000,,48.1,$0.12,$0.30,$0.66,0.015374,35,2276.51,25,1626.08,No,70B,,
Llama 3.1 8B,llama3.1-8b-instruct,128000,,154.6,$0.025,$0.04,$0.10,0.003206,24,7485.53,12,3742.77,No,8B,,
Deepseek R1,deepseek-r1-671b,128000,,23.9,$0.54,$2.18,$0.96,0.069172,60,867.40,49,708.38,Yes,671B,,
Deepseek V3,deepseek-v3-0324,128000,,25.4,$0.34,$0.88,$0.48,0.043542,53,1217.21,38,872.71,No,,,
Deepseek R1 Distill Llama 3.3,deepseek-llama3.3-70b,128000,,87.6,$0.20,$0.60,"$0,60",0.025653,48,1871.16,,,Yes,70B,,
LFM 40B,lfm-40b,66000,,169.5,$0.15,$0.15,$0.18,0.009925,22,2216.53,,,No,40B,,
Qwen 2.5 Coder,qwen25-coder-32b-instruct,32000,,62.9,$0.07,$0.16,$0.20,0.009180,36,3921.54,28,3050.09,No,32B,set because open source coder,
